# ID     FLUX_G     FLUX_R      FLUX_I    FLUX_VIS   FLUX_Z     FLUX_Y   FLUX_J   FLUX_H   FLUXERR_G   FLUXERR_R   FLUXERR_I   FLUXERR_VIS   FLUXERR_Z   FLUXERR_Y   FLUXERR_J   FLUXERR_H   ZSPEC     AGN_FLAG   SUPER_ID  
  4134   0.1582     0.357     0.6714   0.5329   0.5831    0.5277   0.6923   0.6687   0.04131   0.0579    0.1327    0.04886   0.08      0.08116   0.07876   0.08542   0.51      0        80012  
  4145   0.3533     0.6347    1.216    1.313    1.432     2.14     2.85     3.762    0.04569   0.06526   0.1468    0.06222   0.0901    0.1022    0.09996   0.1073    1.049     0        79673  
  4149   0.9073     1.014     1.172    1.368    1.812     2.273    2.682    2.893    0.06209   0.08944   0.1996    0.07333   0.1237    0.1789    0.1785    0.1865    1.2932    0        79523  
  4169   0.2381     1.138     5.244    5.469    8.252     12.91    18.64    30.41    0.0728    0.1071    0.234     0.1364    0.1497    0.2216    0.2199    0.231     0.73059   0        78605  
  4170   0.2981     0.3729    0.7119   0.6544   0.7361    0.8261   1.009    1.525    0.05031   0.07143   0.1612    0.06188   0.09827   0.1073    0.104     0.1125    1.227     0        79469  
  4184   3.044      10.01     20.8     21.75    27.22     32.94    42.2     59.74    0.09944   0.1462    0.3207    0.1628    0.2052    0.2913    0.2872    0.3035    0.45638   100      78296  
  4187   0.5349     3.336     14.33    15.7     22.59     32.21    46.27    70.53    0.08766   0.13      0.2831    0.1436    0.1805    0.2536    0.252     0.2645    0.666     0        76334  
  4190   0.1613     0.5375    1.396    1.492    1.895     2.642    3.713    5.282    0.04957   0.07096   0.1594    0.06325   0.09763   0.1171    0.1161    0.1231    0.784     0        79190  
  4193   0.4312     0.4863    0.772    0.7581   0.6896    1.507    1.428    1.798    0.05266   0.07627   0.1693    0.07593   0.1054    0.1361    0.1344    0.1422    1.3769    0        78980  
  4203   0.8476     1.811     4.13     4.299    4.846     6.105    7.287    9.056    0.07217   0.1054    0.2326    0.1185    0.1471    0.2184    0.217     0.2272    0.66592   0        78824  
  4214   2.426      4.765     10.68    10.67    12.23     15.29    17.66    21.87    0.0567    0.08158   0.1824    0.088     0.1128    0.1431    0.1417    0.15      0.73584   0        78599  
  4220   3.245      7.651     13.26    12.96    14.82     15.6     17.27    20.47    0.068     0.09739   0.2183    0.1128    0.1353    0.1735    0.1707    0.1815    0.13      0        78476  
  4227   0.23       0.3171    0.5634   0.6302   1.038     1.096    1.286    0.9904   0.06027   0.08882   0.1937    0.09505   0.1239    0.1869    0.1863    0.1946    1.096     0        79259  
  4236   0.1014     0.6201    3.197    3.696    5.426     8.332    12.05    19.51    0.06405   0.09151   0.2056    0.09806   0.1271    0.1513    0.1475    0.1587    0.734     100      78338  
  4244   0.4774     0.526     0.7943   0.799    0.8529    1.406    1.155    1.614    0.05265   0.07596   0.1695    0.0583    0.1055    0.1383    0.1369    0.1452    1.2943    0        78929  
  4250   0.3567     0.4332    0.6644   0.8021   1.465     1.304    1.465    2.006    0.04732   0.06575   0.1518    0.04864   0.08966   0.09185   0.09025   0.09687   1.22789   0        79106  
  4258   1.448      5.757     19.97    21.84    29.5      39.8     51.73    75.74    0.09055   0.1311    0.2918    0.1594    0.1843    0.2776    0.2749    0.288     0.664     100      76943  
  4264   0.3722     0.5763    1.117    1.135    1.37      1.206    1.365    1.601    0.05907   0.08732   0.1902    0.08126   0.1211    0.1735    0.1733    0.1815    0.7293    0        78683  
  4265   0.2874     0.5633    0.6525   0.6816   0.7947    0.8888   1.155    1.39     0.04513   0.06387   0.145     0.05165   0.08741   0.09401   0.09226   0.09896   2.5781    0        79013  
  4269   1.175      2.731     4.113    4.093    4.991     4.572    5.333    5.759    0.05523   0.07914   0.1772    0.07649   0.1093    0.1436    0.142     0.1502    0.3303    0        78563  
  4277   3.87       7.257     12.64    12.16    12.99     15.23    16.44    21.63    0.07325   0.1072    0.2363    0.1131    0.1496    0.2257    0.2239    0.2342    0.542     100      77771  
  4290   0.233      0.3223    0.6444   0.7626   1.078     1.219    1.205    1.628    0.04052   0.05775   0.1304    0.05623   0.07989   0.08308   0.08047   0.08747   1.158     0        78716  
  4291   0.2371     0.7101    1.986    2.191    2.832     4.02     5.647    8.515    0.06756   0.09885   0.2175    0.08412   0.137     0.2044    0.2017    0.2114    0.73303   0        77819  
  4301   0.105      0.4727    1.241    1.504    2.186     3.0      4.007    5.535    0.04939   0.07004   0.1588    0.061     0.09692   0.1086    0.1057    0.114     0.7348    0        78368  
  4306   0.1281     0.4747    0.4479   0.7796   0.6279    0.7184   0.6083   0.5731   0.0488    0.06942   0.1568    0.06376   0.09599   0.109     0.1069    0.1145    3.33112   0        78776  
  4321   2.23       4.683     9.732    9.873    12.57     16.43    19.24    29.18    0.1061    0.1563    0.3425    0.1289    0.2227    0.4241    0.4257    0.4384    0.5774    100      76868  
  4326   0.8736     1.111     2.376    2.436    2.922     3.538    4.495    5.192    0.06118   0.09082   0.1969    0.08438   0.1265    0.2166    0.2157    0.2229    0.967     0        78074  
  4328   0.5289     0.8706    1.105    1.003    1.025     1.083    1.372    2.11     0.04707   0.06644   0.1512    0.05429   0.09134   0.1021    0.1009    0.1075    0.78328   0        78497  
  4330   1.249      8.879     33.14    34.77    46.57     58.59    76.58    112.8    0.103     0.1485    0.3316    0.1955    0.206     0.2489    0.2434    0.261     0.577     100      76424  
  4337   0.219      0.3188    0.2779   0.2797   0.8661    0.3599   0.5712   0.6465   0.03999   0.0595    0.1287    0.05369   0.0823    0.105     0.1011    0.1083    1.89026   0        78413  
  4352   2.793      4.623     3.849    4.327    5.948     3.527    3.836    4.353    0.04601   0.06463   0.1477    0.05369   0.08852   0.08977   0.08729   0.09449   0.337     100      77960  
  4355   0.3796     0.6978    1.639    1.435    2.13      2.538    3.685    4.487    0.05522   0.07908   0.1775    0.0717    0.1095    0.146     0.1457    0.1529    1.1097    0        78041  
  4357   0.4422     0.6573    1.359    1.363    1.887     2.19     2.516    3.476    0.04991   0.0707    0.1604    0.05994   0.09786   0.1182    0.1172    0.1242    0.782     0        77849  
  4365   0.3281     0.3622    0.3183   0.4502   -0.1353   0.5535   0.2958   0.7013   0.05071   0.07064   0.1625    0.04752   0.09662   0.1143    0.1138    0.12      1.378     0        78263  
  4377   0.1243     0.6029    2.334    3.014    6.291     8.728    11.31    16.47    0.04598   0.06455   0.1476    0.05527   0.0887    0.08916   0.08635   0.0939    1.123     0        77372  
  4379   0.202      0.6557    2.435    2.746    4.466     5.574    6.8      8.569    0.04374   0.06142   0.1403    0.05059   0.08388   0.07882   0.07588   0.08301   1.016     100      77801  
  4387   4.677      10.45     15.41    15.2     17.78     18.55    20.43    23.34    0.1159    0.1734    0.3745    0.1747    0.2448    0.4522    0.4534    0.4669    0.261     0        76124  
  4396   0.3288     0.448     0.8108   0.9267   1.246     1.662    1.916    2.577    0.05155   0.0741    0.1658    0.06941   0.103     0.1344    0.1328    0.1408    1.224     0        77642  
  4405   0.8457     2.405     6.944    7.449    9.519     11.97    14.59    20.13    0.05264   0.07508   0.1695    0.07843   0.1036    0.1203    0.1177    0.1261    0.68014   0        77267  
  4418   0.0542     0.332     1.332    1.576    2.494     3.397    4.369    6.317    0.04403   0.06165   0.1412    0.04752   0.08446   0.08081   0.07809   0.08517   0.83192   100      77660  
  4420   3.114      9.363     21.32    22.37    29.35     41.29    53.41    85.98    0.06752   0.09799   0.2173    0.1163    0.1366    0.2086    0.2099    0.2169    0.547     100      76460  
  4431   0.9841     1.862     4.325    4.3      5.429     5.657    6.497    7.92     0.07113   0.1046    0.2297    0.1217    0.146     0.2229    0.2214    0.2313    0.7311    0        77192  
  4436   2.076      3.281     4.891    4.494    4.865     4.877    4.944    5.787    0.04588   0.06439   0.1471    0.05546   0.08814   0.08813   0.08567   0.09281   0.1302    0        77444  
  4447   0.01592    0.01126   0.3147   0.2216   0.3993    0.242    0.1577   0.4169   0.03859   0.05396   0.1238    0.04043   0.07379   0.07262   0.07016   0.07655   0.842     0        77744  
  4452   0.04652    0.2777    0.3594   0.7801   1.327     2.385    4.418    7.42     0.06664   0.09777   0.2148    0.09494   0.1357    0.2001    0.1986    0.2082    1.12      101      77153  
  4454   5.013      25.59     58.71    61.75    78.05     103.4    136.8    188.8    0.0957    0.1397    0.3079    0.2245    0.1954    0.3009    0.3042    0.3136    0.34      100      74294  
  4460   0.05015    0.2649    0.27     0.2945   0.5084    0.2611   0.1909   0.266    0.04007   0.05697   0.1286    0.03622   0.07708   0.07602   0.07382   0.08017   3.569     0        77699  
  4468   0.2115     0.4157    0.6822   0.6862   0.8036    0.9009   1.018    1.262    0.04336   0.06104   0.1392    0.04375   0.08378   0.08237   0.07985   0.08687   0.66519   0        77399  
  4472   0.4305     0.3805    0.5408   0.6003   0.9351    0.6574   0.637    0.4966   0.04446   0.06199   0.1424    0.04301   0.08377   0.07765   0.07502   0.08165   0.832     0        77537  
  4473   0.08647    0.1422    0.4459   0.3335   0.09361   0.3497   0.3963   0.3472   0.04602   0.06524   0.1478    0.04122   0.0894    0.09206   0.09003   0.09729   0.604     0        77534  
  4480   0.3824     2.568     9.819    10.06    13.19     17.33    22.1     30.59    0.06089   0.08675   0.1959    0.1086    0.12      0.1356    0.132     0.1421    0.66905   0        75854  
  4484   0.2409     0.2769    0.693    0.8294   0.9188    0.9034   0.9788   1.149    0.04215   0.05945   0.1352    0.04351   0.08116   0.07871   0.07584   0.08292   0.73075   0        77531  
  4501   0.006563   0.08963   0.3569   0.2746   0.1195    0.1886   0.2246   0.2536   0.04451   0.0606    0.143     0.04301   0.08544   0.08949   0.08719   0.09435   4.738     0        77477  
  4503   3.569      21.84     52.93    57.33    76.31     97.97    141.6    208.0    0.1224    0.1854    0.3948    0.2095    0.2579    0.4475    0.4486    0.4638    0.33563   0        74249  
  4508   0.04724    0.2711    0.9409   1.094    1.738     2.394    3.131    4.399    0.04701   0.06659   0.151     0.06477   0.09177   0.09374   0.0904    0.09853   1.0       0        76670  
  4516   0.9591     1.946     2.488    2.547    2.773     2.919    2.903    3.235    0.05876   0.08534   0.1891    0.08489   0.1183    0.1652    0.1639    0.1725    0.331     100      76838  
  4522   0.3182     1.885     8.92     9.955    14.93     20.31    27.34    41.68    0.06521   0.09373   0.2099    0.1045    0.13      0.1587    0.1558    0.1665    0.73191   0        76199  
  4547   0.1672     0.1689    0.5977   0.6803   1.091     1.027    1.85     2.305    0.05651   0.08224   0.1816    0.06135   0.1142    0.1601    0.1598    0.1679    1.0485    0        76739  
  4552   0.6584     1.299     2.81     2.483    2.282     3.052    3.623    4.605    0.05204   0.0737    0.1671    0.06972   0.1018    0.122     0.1197    0.1277    0.553     0        76832  
  4563   0.2608     0.51      0.7909   0.7366   0.5413    0.7061   0.5809   0.7289   0.04743   0.06712   0.1526    0.05546   0.09323   0.1046    0.1028    0.1102    3.229     0        76805  
  4586   0.1237     0.1539    1.257    1.369    2.483     4.116    5.57     8.067    0.04544   0.06404   0.1459    0.05867   0.08777   0.08828   0.08563   0.09287   1.158     0        76271  
  4594   1.923      4.187     8.571    8.451    10.87     12.56    14.54    18.95    0.07274   0.107     0.2349    0.1151    0.1499    0.2509    0.2514    0.2599    0.522     0        75701  
  4603   0.1564     0.1678    0.2844   0.3773   0.2676    0.1253   0.3914   0.5889   0.04714   0.06771   0.1515    0.0745    0.09293   0.1116    0.1099    0.1172    2.6918    0        76658  
  4608   0.1175     0.5932    2.585    2.856    3.802     5.409    7.535    10.84    0.04889   0.06919   0.1572    0.0624    0.09495   0.1031    0.1005    0.1083    0.735     100      76070  
  4611   0.8572     0.7529    0.9778   1.08     0.8143    1.812    1.935    2.22     0.04207   0.05924   0.1351    0.04638   0.08116   0.07584   0.07311   0.07997   1.468     100      76400  
  4613   1.446      2.506     4.501    3.96     4.109     4.39     4.323    4.87     0.07417   0.1089    0.2392    0.101     0.1531    0.2667    0.2664    0.2742    0.55774   0        76151  
  4625   0.5257     0.7161    1.615    1.397    1.309     1.45     1.683    1.906    0.06255   0.09098   0.2014    0.08788   0.1273    0.1886    0.1864    0.1957    0.5324    0        76307  
  4640   0.3305     0.6347    1.152    0.9026   1.014     0.9338   0.7732   0.9345   0.04314   0.06101   0.1384    0.05123   0.08321   0.08543   0.08345   0.09009   0.5594    0        76421  
  4657   0.1435     0.3183    0.7632   0.538    0.7806    0.8126   1.232    1.903    0.05489   0.07894   0.1767    0.06769   0.1097    0.1472    0.1449    0.1537    1.1088    0        76025  
  4662   0.03585    0.09235   0.2667   0.1989   0.1018    0.1972   0.1218   0.2563   0.03215   0.04693   0.1033    0.03213   0.06367   0.0616    0.05827   0.06419   0.667     0        76409  
  4675   0.48       0.6248    1.131    1.149    0.9699    1.06     1.316    1.148    0.05079   0.07266   0.1632    0.061     0.1003    0.1252    0.1231    0.131     0.664     0        75836  
  4679   0.572      0.817     1.007    1.235    1.306     1.568    2.508    3.525    0.05767   0.08334   0.1855    0.06737   0.1158    0.1535    0.1512    0.1598    1.94314   0        75926  
  4686   2.854      4.385     5.431    5.275    4.961     5.282    5.37     5.735    0.06151   0.08909   0.1978    0.09391   0.1231    0.1586    0.1561    0.1657    0.2276    0        75599  
  4703   0.6078     0.8154    1.684    1.561    1.807     1.916    2.096    2.416    0.04609   0.06478   0.1476    0.05059   0.08848   0.08887   0.08621   0.09349   0.927     0        75893  
  4704   0.2516     0.2474    0.3267   0.2714   0.3473    0.5124   0.5145   0.5471   0.04649   0.06276   0.1488    0.03076   0.08388   0.0634    0.0609    0.0672    1.2981    0        76112  
  4716   0.8727     1.536     2.182    2.406    2.852     3.102    3.221    3.945    0.06761   0.09943   0.2178    0.09762   0.1391    0.2221    0.2225    0.2305    0.5372    0        75359  
  4721   0.7643     0.7852    0.6832   0.7829   1.051     0.9397   0.8303   1.203    0.04341   0.06146   0.1393    0.04497   0.08327   0.07595   0.07322   0.08003   1.145     0        75752  
  4723   0.2879     0.2664    0.1414   0.2433   0.1408    0.2757   0.2317   0.17     0.04146   0.05854   0.1332    0.03593   0.07955   0.07756   0.07576   0.08189   2.61055   0        75989  
  4748   1.45       2.451     3.117    3.321    3.382     3.538    3.399    3.88     0.05545   0.07944   0.1782    0.0783    0.1097    0.1329    0.1306    0.1393    0.115     0        75272  
  4752   1.267      2.005     3.009    2.658    2.925     2.608    2.756    3.088    0.06287   0.09053   0.2022    0.08957   0.1265    0.1822    0.1814    0.1904    0.468     0        75203  
  4753   4.205      1.208     3.012    1.974    3.297     1.914    2.638    4.019    0.04359   0.0608    0.1397    0.04752   0.08297   0.07587   0.07278   0.07992   1.92      100      75212  
  4755   0.4718     0.4729    0.4482   0.5282   0.8694    0.9875   1.105    1.067    0.05262   0.0767    0.1689    0.06673   0.1035    0.1366    0.1358    0.1422    1.317     0        75650  
  4770   0.118      0.9143    4.202    4.479    6.005     8.561    10.38    14.71    0.04626   0.06506   0.1487    0.0583    0.0893    0.0883    0.0855    0.09305   0.68303   0        75005  
  4776   0.295      1.636     5.299    5.475    7.232     8.912    10.68    15.23    0.04783   0.06749   0.1536    0.06376   0.09268   0.09451   0.09156   0.09938   0.577     0        74855  
  4782   0.1527     1.853     7.765    10.04    17.61     23.28    30.52    43.34    0.0609    0.08712   0.1957    0.1056    0.1202    0.138     0.1345    0.1447    0.9803    0        73706  
  4805   1.148      2.066     6.126    8.107    13.09     22.49    32.26    45.48    0.1205    0.1813    0.3891    0.1866    0.2576    0.4362    0.4268    0.4501    1.0959    100      73640  
  4807   0.5936     0.7601    0.6235   0.835    1.184     0.8123   1.234    1.812    0.05229   0.0751    0.1684    0.07993   0.1041    0.1329    0.1313    0.1391    2.36334   0        75074  
  4810   0.289      0.4672    1.587    1.543    1.966     2.234    2.263    3.357    0.05899   0.08562   0.1898    0.08739   0.1188    0.1599    0.1579    0.1673    0.7348    0        74795  
  4841   2.231      5.847     9.3      9.676    10.84     11.46    12.17    13.9     0.08415   0.1227    0.271     0.1382    0.1718    0.2575    0.2552    0.2674    0.164     0        74171  
  4844   1.034      1.614     2.769    2.863    3.019     3.034    3.232    3.439    0.0507    0.07182   0.1629    0.07064   0.09916   0.1114    0.1089    0.1169    0.6786    0        74708  
  4847   0.3651     0.416     0.5197   0.6392   0.9411    0.9698   0.9557   1.139    0.04876   0.06913   0.1568    0.06359   0.09671   0.1232    0.1217    0.1295    1.128     0        74813  
  4856   0.4268     0.3519    1.016    0.8211   1.307     1.644    1.649    2.073    0.04674   0.06617   0.1499    0.05848   0.09079   0.1086    0.1077    0.1138    1.222     0        74678  
  4867   0.4653     1.137     4.408    5.153    7.981     11.39    15.36    22.15    0.06638   0.09618   0.2135    0.1127    0.1339    0.1761    0.1728    0.1837    0.984     100      73982  
  4877   17.15      64.95     125.1    128.7    156.1     189.1    228.5    282.8    0.2391    0.3588    0.7722    0.3339    0.5092    0.8654    0.8555    0.8948    0.214     0        70703  
  4890   2.394      3.727     7.836    7.444    8.511     9.577    10.58    12.4     0.07163   0.1051    0.2307    0.11      0.1474    0.2489    0.2487    0.2573    0.7373    0        73763  
  4894   0.9178     1.535     3.526    3.379    3.811     4.793    5.546    6.846    0.06337   0.09158   0.2039    0.08258   0.1274    0.1839    0.1839    0.1921    0.736     0        73955  
  4895   1.165      1.945     3.904    3.72     4.066     4.839    5.038    5.676    0.04728   0.0679    0.1519    0.06543   0.09379   0.1055    0.1028    0.1109    0.26116   0        74231  
  4915   11.38      24.21     33.9     33.68    35.35     37.95    40.53    45.88    0.169     0.2479    0.5443    0.2341    0.353     0.6247    0.6211    0.6447    0.248     100      72350  
  4921   0.5427     0.6288    0.8993   1.082    1.422     1.64     1.733    2.157    0.04691   0.06628   0.1506    0.06359   0.0911    0.1013    0.09909   0.1061    1.158     0        74270  
  4926   1.667      2.933     6.073    6.122    7.059     8.296    9.358    11.74    0.055     0.07848   0.1768    0.08006   0.1088    0.1418    0.1405    0.1482    0.6706    100      73775  
  4940   7.052      13.45     20.4     19.37    21.54     22.09    23.73    29.16    0.04948   0.06976   0.1587    0.08297   0.09545   0.09201   0.0887    0.0969    0.2329    100      72932  
  4948   0.9208     2.166     3.729    3.985    4.25      5.243    5.979    7.328    0.06993   0.1012    0.2254    0.1038    0.1413    0.2118    0.2094    0.2192    0.549     0        73214  
  4956   0.07725    0.235     0.7745   0.6809   1.265     1.479    1.76     2.793    0.04153   0.06321   0.1334    0.0691    0.08579   0.1126    0.1117    0.1173    0.96191   0        73970  
  4965   0.1171     0.112     0.4656   0.44     0.03555   0.4802   0.4682   0.5721   0.04886   0.06968   0.1568    0.05468   0.09592   0.1225    0.122     0.1283    0.142     0        74078  
  4972   0.2931     0.3148    0.4296   0.6468   1.027     1.072    1.101    1.63     0.04164   0.05994   0.1337    0.05389   0.08196   0.08009   0.07723   0.08459   1.3833    0        73901  
  4991   0.1982     0.2467    0.6359   0.4202   0.6634    0.8973   1.273    1.746    0.04367   0.06198   0.1401    0.05059   0.08527   0.08555   0.08242   0.09004   1.4634    0        73979  
  4998   0.4893     4.078     18.08    19.49    27.09     37.57    48.15    66.91    0.05754   0.0818    0.1844    0.1058    0.1125    0.1253    0.1223    0.1318    0.735     0        72473  
  5004   0.0887     0.1324    0.3611   0.3461   0.2849    0.2579   0.3832   0.4197   0.04351   0.06075   0.1398    0.0371    0.08258   0.07749   0.07511   0.08176   0.74      0        73994  
  5005   1.902      3.173     5.642    5.577    6.185     6.09     6.318    7.778    0.05703   0.08192   0.1838    0.0814    0.1137    0.1541    0.152     0.1603    0.6663    100      73193  
  5006   3.293      22.42     63.52    67.35    87.21     113.7    148.6    209.4    0.1287    0.1864    0.4138    0.2957    0.2595    0.3354    0.3285    0.3502    0.457     0        71183  
  5007   0.5245     0.7722    0.9348   1.006    1.413     1.558    2.108    2.492    0.05138   0.07296   0.1652    0.0641    0.1005    0.1208    0.1191    0.1262    2.0069    0        73541  
  5012   1.33       2.563     3.239    3.255    3.308     3.603    3.845    4.177    0.05862   0.08428   0.1884    0.07621   0.1167    0.15      0.1486    0.1576    0.2425    0        73412  
  5017   0.1766     0.1998    0.3982   0.4258   0.5316    0.4194   0.5418   0.5279   0.03814   0.0544    0.1225    0.04301   0.07463   0.06914   0.06648   0.07273   0.711     0        73904  
  5023   0.02728    0.1206    0.6838   0.6109   0.7629    0.8517   0.6598   0.6666   0.04865   0.06948   0.1563    0.05308   0.09551   0.1146    0.1138    0.1197    4.138     0        73751  
  5024   0.2719     0.3743    0.851    0.8905   1.56      1.602    1.902    2.142    0.0703    0.1039    0.2273    0.1077    0.149     0.3015    0.3037    0.3115    1.016     0        73484  
  5033   0.6176     0.565     0.6407   0.6958   0.683     1.162    0.9893   1.222    0.04571   0.0646    0.1467    0.05389   0.0885    0.09063   0.08816   0.09522   1.88129   0        73667  
  5049   0.09543    0.4283    0.6558   0.7403   0.6217    0.7745   0.9082   0.8806   0.0303    0.04797   0.09703   0.05756   0.06525   0.08346   0.07966   0.08596   3.48      0        73580  
  5054   0.323      0.507     0.7323   0.5212   0.1361    0.5143   0.4258   0.7224   0.04611   0.06502   0.148     0.0482    0.08898   0.08921   0.08655   0.09373   2.44031   0        73568  
  5062   0.05411    0.2815    0.5401   0.5926   0.6734    0.6274   0.4763   0.5529   0.04339   0.0613    0.1393    0.05488   0.08425   0.0857    0.08301   0.09015   3.6       0        73520  
  5063   1.28       2.572     3.693    3.724    3.888     4.366    4.482    5.197    0.05018   0.07097   0.1609    0.06575   0.09767   0.1126    0.1104    0.1181    0.14827   0        73097  
  5068   4.143      4.442     5.905    6.339    7.861     8.373    9.048    11.59    0.04873   0.06845   0.1565    0.06721   0.09405   0.09827   0.09541   0.1031    1.309     100      72929  
  5070   0.07416    0.4718    2.359    2.504    3.766     4.301    5.419    7.337    0.04568   0.06434   0.1468    0.05793   0.08817   0.0866    0.08361   0.0912    0.77      0        73154  
  5078   0.6975     1.335     2.047    1.753    2.048     1.63     1.819    1.833    0.04899   0.0698    0.1576    0.061     0.09589   0.1101    0.1083    0.1158    0.2968    0        73124  
  5085   0.4557     0.6916    1.26     1.368    1.387     2.026    1.582    1.602    0.06018   0.08728   0.1931    0.06972   0.1212    0.1831    0.1813    0.1893    0.7331    0        73226  
  5089   0.199      0.3651    0.3561   0.499    0.4796    1.042    1.196    1.663    0.05158   0.07362   0.1657    0.05604   0.1017    0.1256    0.1225    0.1309    1.7669    0        72977  
  5094   0.01308    0.1841    0.3951   0.408    0.6988    0.679    1.106    2.704    0.03848   0.05389   0.1237    0.04775   0.07353   0.07355   0.07117   0.07737   3.064     110      73145  
